uid,platform,query,post_date,source_url,title,author,like_count,comment_count,collect_count,overall_score,score_quality,score_value,score_latency,score_throughput,score_stability,pros_summary,cons_summary,overall_summary,evidence,fetched_at,run_id,tag
xhs:699748a4000000001a02a6b9,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/699748a4000000001a02a6b9,gemini网页已经变成3.1了,霁煦,132,53,23,1,1,0,0,0,1,,变得呆板模板化，失去了情感表达和情绪，可爱的3消失了；容易触发safety机制，正常对话被中断，无法通过刷新消除,,前一轮还在直白地聊内心想法，下一轮就直接跳safety警告，说自己是AI,2026/02/26 22:32,20260226_222824_zc34yq,"情感退化,过度安全限制,不稳定,体验下降"
xhs:6996eceb000000000e00cd36,xhs,Gemini 3.1,2026/02/19,https://www.xiaohongshu.com/explore/6996eceb000000000e00cd36,Google 偷偷发布了 gemini 3.1,白苏 Elliot,30,11,6,2,2,0,0,0,0,,在我们的场景中效果倒退,,目前Vertex可以调用，Mew.Design 也通过我们合作方 Zenmux 第一时间拿到了接口。但是测试下来效果有点倒退，至少在我们的场景中是倒退的,2026/02/26 22:35,20260226_223418_uc4ovc,"测试反馈,效果倒退,API接入,场景验证"
xhs:699980e2000000000a02f712,xhs,Gemini 3.1,2026/02/21,https://www.xiaohongshu.com/explore/699980e2000000000a02f712,VendingBench2 测试 3.1 也没打过 3.0,karminski,40,6,5,2,2,3,0,0,2,小型任务或不严肃任务表现不错,大型编程任务和多轮Agent任务容易翻车，超过某上下文阈值后性能暴跌；存在不合理tool call和变量作用域幻觉问题,,VendingBench2测试显示3.0-Pro比3.1-Pro好；测试中分数到达某轮后突然下跌；vector db bench测试中40/50步就半场开香槟直接选择优化完毕结束任务；前端代码生成错误率极高，都是未定义函数调用或变量作用域问题,2026/02/26 22:35,20260226_223418_uc4ovc,"性能不稳定,context长度限制,小型任务可用,大型任务谨慎,对比3.0更差"
xhs:699dd48a0000000022039668,xhs,Gemini 3.1,2026/02/25,https://www.xiaohongshu.com/explore/699dd48a0000000022039668,全球基模智能总榜update: Gemini 3.1 Pro,李惠子Huizi Li,22,4,7,5,5,5,0,0,0,Scored highest in Artificial Analysis intelligence index; cost 50% less than GPT-5.2 and Claude Opus 4.6; uses fewer tokens (57M vs 130M/58M),,,"Gemini 3.1 Pro Preview pricing at $2/$12 per million tokens vs Claude Opus 4.6 ($5/$25) and GPT-5.2 ($1.75/$14). Evaluation cost $892 vs $2,304 (GPT-5.2) and $2,486 (Claude Opus 4.6).",2026/02/26 22:36,20260226_223418_uc4ovc,"intelligence,cost-efficiency,token-efficiency,price-comparison,AI-model"
xhs:69981d3f000000000a02e8c8,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/69981d3f000000000a02e8c8,实测Gemini 3.1 Pro，来看看效果如何！,Elia,5,0,2,4,4,4,1,3,3,数据处理逻辑更严谨，物理规律模拟更准确，创意解析和交互设计能力明显提升,生成速度比上一代慢很多,,测试显示3.1 Pro在复杂系统合成、创意编码、交互式设计、代码动画四个场景中表现优于3 Pro，尤其在流体动力学算法和SVG动画动态效果上有显著提升,2026/02/26 22:36,20260226_223418_uc4ovc,"Gemini,AI评测,前端开发,代码生成,性能对比"
xhs:699b13df000000000b012c79,xhs,Gemini 3.1,2026/02/22,https://www.xiaohongshu.com/explore/699b13df000000000b012c79,Gemini 3.1 Pro + NotebookLM做行研,大西瓜AI 实验室,1087,24,2295,4,4,4,0,0,0,逻辑严谨度大幅提升；数据挖掘深度明显增强；分析结果质量高；四步法工作流简洁高效；AI工具带来的效率提升是指数级的,提示词需要不断优化迭代才能达到最佳效果,,原文：「重制后的报告效果很好！逻辑严谨度、数据挖掘的深度，以及分析给出的结果，完全上了一个大台阶」「找对方法，它真的可以变得很简单且极具杀伤力」「你和工具的每一次双向迭代，带来的都是效率的指数级跃升」,2026/02/26 22:55,20260226_225417_qxnn53,"gemini,notebooklm,行业分析,高效生产力,AI工具,工作流"
xhs:69986c06000000001a034a65,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/69986c06000000001a034a65,Gemini3.1发布了但又开始封号了,小恐龙的AI工坊,796,585,337,3,3,4,0,4,2,推理能力翻倍、上下文100万、价格只有Opus一半、代码能力强,文本仍不如Claude、编程不如GPT和Claude、实测体感与3.0差不多、Preview版非正式、封号严重,,ARC-AGI-2跑到77.1%，幻觉率从88%降到50%，1M上下文65K输出，SWE-Bench 80.6%，但文本还是Claude强，编程还是GPT和Claude领先，有人实测说体感跟3.0差不多。大面积封号，edu优惠被撤，第三方工具基本中招，某宝买的号全被封。,2026/02/26 22:55,20260226_225417_qxnn53,"Gemini 3.1,性能提升,封号,价格优势,Preview版,风控严格"
xhs:69974c30000000000b00a05b,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/69974c30000000000b00a05b,Gemini 3.1 Pro,sticker,832,27,375,4,4,0,0,0,0,效果不错,,,Gemini 3.1 Pro 刚发布，上手测了一下，效果不错,2026/02/26 22:56,20260226_225417_qxnn53,gemini3
xhs:699974970000000015020823,xhs,Gemini 3.1,2026/02/21,https://www.xiaohongshu.com/explore/699974970000000015020823,终归在 Gemini3.1pro 上线这波给整顿了,城市漫游,6,20,1,5,5,4,0,0,0,太好用了,从闲鱼购买，非官方渠道,,闲鱼买的用了两个月，老实说太好用了，准备老实续费了,2026/02/26 22:56,20260226_225417_qxnn53,"Gemini 3.1 Pro,学生认证,续费"
xhs:69973c5c000000000d00a38e,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/69973c5c000000000d00a38e,Gemini 3.1 Pro上线，推理能力提升2倍,轩铭进化论,5,1,3,4,0,0,0,0,0,,,My take on Gemini 3.1: Gemini 3.1 Pro上线，推理能力提升2倍; Gemini最新3,Gemini最新3.1 Pro模型已上线，比上一代的抽象推理能力提升了2倍，被称为全球最好的大模型之一,2026/02/26 22:56,20260226_225417_qxnn53,"推理能力提升,模型发布,性能升级"
